,experiment,event,duration,global
236,cpu-static,wfmanager_add_new_patches_mlserver_58,0.10791659355163574,wfmanager_add_new_patches_mlserver
237,cpu-static,wfmanager_add_new_patches_to_ml_58,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
238,cpu-static,wfmanager_add_cgframes_to_ml_58,1.5497207641601562e-05,wfmanager_add_cgframes_to_ml
239,cpu-static,wfmanager_update_jobs_58,0.4669661521911621,wfmanager_update_jobs
240,cpu-static,wfmanager_add_new_patches_mlserver_59,0.18111777305603027,wfmanager_add_new_patches_mlserver
241,cpu-static,wfmanager_add_new_patches_to_ml_59,1.4543533325195312e-05,wfmanager_add_new_patches_to_ml
242,cpu-static,wfmanager_add_cgframes_to_ml_59,1.71661376953125e-05,wfmanager_add_cgframes_to_ml
243,cpu-static,wfmanager_update_jobs_59,0.5116279125213623,wfmanager_update_jobs
244,cpu-static,wfmanager_add_new_patches_mlserver_60,0.11617326736450195,wfmanager_add_new_patches_mlserver
245,cpu-static,wfmanager_add_new_patches_to_ml_60,1.4543533325195312e-05,wfmanager_add_new_patches_to_ml
246,cpu-static,wfmanager_add_cgframes_to_ml_60,1.7404556274414062e-05,wfmanager_add_cgframes_to_ml
247,cpu-static,wfmanager_update_jobs_60,0.49959301948547363,wfmanager_update_jobs
248,cpu-static,wfmanager_add_new_patches_mlserver_61,0.18061304092407227,wfmanager_add_new_patches_mlserver
249,cpu-static,wfmanager_add_new_patches_to_ml_61,1.5974044799804688e-05,wfmanager_add_new_patches_to_ml
250,cpu-static,wfmanager_add_cgframes_to_ml_61,0.00010085105895996094,wfmanager_add_cgframes_to_ml
251,cpu-static,wfmanager_update_jobs_61,0.8213927745819092,wfmanager_update_jobs
252,cpu-static,wfmanager_add_new_patches_mlserver_62,0.11198019981384277,wfmanager_add_new_patches_mlserver
253,cpu-static,wfmanager_add_new_patches_to_ml_62,1.3589859008789062e-05,wfmanager_add_new_patches_to_ml
254,cpu-static,wfmanager_add_cgframes_to_ml_62,2.1696090698242188e-05,wfmanager_add_cgframes_to_ml
255,cpu-static,wfmanager_update_jobs_62,0.6126527786254883,wfmanager_update_jobs
256,cpu-static,wfmanager_add_new_patches_mlserver_63,0.12285041809082031,wfmanager_add_new_patches_mlserver
257,cpu-static,wfmanager_add_new_patches_to_ml_63,3.266334533691406e-05,wfmanager_add_new_patches_to_ml
258,cpu-static,wfmanager_add_cgframes_to_ml_63,2.0742416381835938e-05,wfmanager_add_cgframes_to_ml
259,cpu-static,wfmanager_update_jobs_63,0.5195155143737793,wfmanager_update_jobs
260,cpu-static,wfmanager_add_new_patches_mlserver_64,0.15117120742797852,wfmanager_add_new_patches_mlserver
261,cpu-static,wfmanager_add_new_patches_to_ml_64,1.2874603271484375e-05,wfmanager_add_new_patches_to_ml
