,name,kind,job,event,duration,container,experiment,iteration
123,mummi-manager-55b864fb8f-lg425,Pod,,created-timestamp,1741903491.0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
124,mummi-manager-55b864fb8f-lg425,Pod,,created,0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
125,mummi-manager-55b864fb8f-lg425,Pod,,started-timestamp,1741903491.0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
126,mummi-manager-55b864fb8f-lg425,Pod,,started,0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
127,mummi-manager-55b864fb8f-lg425,Pod,,pulled,7.77869779,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
128,mlrunner-structure-004396842,Job,mlrunner,successfulcreate-timestamp,1741903491.0,,cpu-static,0
129,mlrunner-structure-004396842,Job,mlrunner,completed-timestamp,1741903833.0,,cpu-static,0
130,mlrunner-structure-004396842,Job,mlrunner,running,342,,cpu-static,0
131,mlrunner-structure-004396842-bqnt5,Pod,,pulled-timestamp,1741903725.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
132,mlrunner-structure-004396842-bqnt5,Pod,,pulling-timestamp,1741903492.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
133,mlrunner-structure-004396842-bqnt5,Pod,,scheduled-timestamp,1741903491.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
134,mlrunner-structure-004396842-bqnt5,Pod,,created-timestamp,1741903725.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
135,mlrunner-structure-004396842-bqnt5,Pod,,created,0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
136,mlrunner-structure-004396842-bqnt5,Pod,,started-timestamp,1741903725.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
137,mlrunner-structure-004396842-bqnt5,Pod,,started,0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
138,mlrunner-structure-004396842-bqnt5,Pod,,pulled,233.30870409599999,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
139,mlrunner-structure-066159450,Job,mlrunner,successfulcreate-timestamp,1741903491.0,,cpu-static,0
140,mlrunner-structure-066159450,Job,mlrunner,completed-timestamp,1741903837.0,,cpu-static,0
141,mlrunner-structure-066159450,Job,mlrunner,running,346,,cpu-static,0
142,mlrunner-structure-066159450-ft4jj,Pod,,pulled-timestamp,1741903726.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
143,mlrunner-structure-066159450-ft4jj,Pod,,pulling-timestamp,1741903492.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
